"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PROD-ID";"PROD_ID";"PURCHASE-URL";"SPICEPREFIX";"VALUE";
"1";"";"CONN_02";"1X02";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0";"R-US_R0402";"R0402";"R11, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.001uF";"C-USC0402";"C0402";"C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.01uF";"C-USC0402";"C0402";"C1";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.047uF";"C-USC0402";"C0402";"C12";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100k";"R-US_R0402";"R0402";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C-USC0201_B";"C0201_B";"C21";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C-USC0603K";"C0603K";"C20";"CAPACITOR, American symbol";"";"";"";"";"";"5";"";"";"";"";"C";"";
"1";"100nF";"PARTICLE_C-USC0201_B";"PARTICLE_C0201_B";"C50";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10K";"R-US_R0402";"R0402";"R1, R9, R10, R11_, R15, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10uF";"RICKK2_CAP-10UF-0603";"RICKK2_0603-CAP";"C4, C5, C6, C7, C9, C10";"CAP CER 10UF 16V X5R 0805 $ 0.21";"";"";"";"";"";"";"";"";"";"";"";"10uF";
"2";"10uF/10V";"C-USC0603K";"C0603K";"C18, C19";"CAPACITOR, American symbol";"";"";"";"";"";"5";"";"";"";"";"C";"";
"1";"150";"R-US_R0402";"R0402";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-US_R0201_B";"C0201_B";"R19";"0402 Resistor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K";"R-US_R0402";"R0402";"R12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1k";"R-US_R0402";"R0402";"R2, R3, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C-USC0402";"C0402";"C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CAP-1UF-0603.DEV";"0603-CAP";"C2";"CAP CER 1UF 25V X7R 0603 $ 0.10";"";"";"";"";"";"";"";"";"";"";"";"1uF";
"1";"2.2uH";"RICKK2_INDUCTOR-2.2UH";"RICKK2_1008-BOURNS";"L1";"2.2uH inductor $0.31 **not ordered yet**";"";"";"";"";"";"";"";"";"";"";"";"2.2uH";
"1";"332";"R-US_R0402";"R0402";"R13_";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"4.7K";"R-US_R0402";"R0402";"R6, R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"RICKK2_CAP-4.7UF-0603";"RICKK2_0603-CAP";"C8";"Murata X5R series";"";"";"";"";"";"";"";"";"";"";"";"4.7uF";
"1";"4.7uH";"INDUCTOR-SPARKFUNVLS3012ET-4R7M";"INDUCTOR-VLS-E";"L2";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"47pF";"PARTICLE_C-USC0201_B";"PARTICLE_C0201_B";"C15, C16, C17";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5.6K";"R-US_R0402";"R0402";"R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"B3U-3000P";"B3U-3000P";"SW_B3U-3000P";"S1, S2";"Ultra-small Surface-mounting Tactile Switches with High Contact Reliability Check prices";"Warning";" Tactile Switch SPST-NO Side Actuated Surface Mount, Right Angle ";"Omron";"B3U-3100P-B";"Custom Package Omron";"";"None";"";"";"https://pricing.snapeda.com/search/part/B3U-3100P-B/?ref=eda";"";"";
"1";"BQ24195";"RICKK2_BQ24195";"RICKK2_24VFQN-TI";"U2";"Texas Instruments BQ24195LRGER $2.93";"";"";"";"";"";"";"";"";"";"";"";"BQ24195";
"2";"ESD NC";"REDBEAR_RES0402S";"REDBEAR_R-0402S";"R37, R38";"RES";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"M2_FEATHER_INTERPOSER_PARTICLE_SIM-NANO-4FF";"M2_FEATHER_INTERPOSER_PARTICLE_SIM-NANO-4FF";"M2_FEATHER_INTERPOSER_PARTICLE_GCT-SIM8100";"U$4";"SIM NANO 4FF";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX1704X";"MAX1704X";"TDFN-8";"U3";"MAX17043/MAX17044: Battery Fuel Guage (43 is 1cell, 44 is 2cell)";"";"";"";"";"";"";"";"IC-10399";"";"";"";"";
"1";"MICROBUILDER_FEATHERWINGSMT_BTM_FEATHER";"MICROBUILDER_FEATHERWINGSMT_BTM_FEATHER";"SMT_BTM_FEATHERWING";"MS1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D3";"Red SMD LED";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"RED";
"1";"RED";"RICKK2_LED-RED";"RICKK2_LED-0603";"D1";"LED RED CLEAR 0603 SMD $0.41";"";"";"";"";"";"";"";"";"";"";"";"RED";
"1";"RICKK2_LED-RGB-CREE-SMD";"RICKK2_LED-RGB-CREE-SMD";"RICKK2_LED-RGB-CREE-SMD";"LED1";"LED RGB DIFFUSED 4SMD $ 0.35";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RICKK2_M2-STANDOFF";"RICKK2_M2-STANDOFF";"RICKK2_M2-STANDOFF";"U$1";"https://www.digikey.com/product-detail/en/jae-electronics/SM3ZS067U310-NUT1-R1800/670-2864-1-ND/5955848";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RICKK2_SPARK_M.2EKEY";"RICKK2_SPARK_M.2EKEY";"RICKK2_SPARK_M.2EKEY-LESS-CREAM";"J1";"$1.42";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RICKK2_USB-MICRO-B-SOCKET-AMPHENOL";"RICKK2_USB-MICRO-B-SOCKET-AMPHENOL";"RICKK2_USB-B-SMT-AMPHENOL";"U$3";"CONN USB MICRO B RECPT SMT R/A $0.42";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RS1JFP";"RICKK2_DIODE-RS1JFP";"RICKK2_SOD-123HE-ON";"D2";"Reverse voltage protection diode - not ordered yet!";"";"";"";"";"";"";"";"";"";"";"";"RS1JFP";
"1";"UFL";"PARTICLE_IPEX-20279-001E";"PARTICLE_IPEX-20279-001E";"NFC";"Ultra Miniature Coaxial SMT RF Receptacle";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XC8107SOT25";"XC8107SOT25";"SOT25";"U7";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XC9258A33EER-G";"XC9258A33EER-G";"USP-6C";"U6";"1.0A Synchronous Step-Down DC/DC Converters";"";"";"";"";"";"";"";"";"";"";"";"";
